NUM_MEC;ANO_LETIVO;VALOR_PAGO;DATA_PAGAMENTO
20260001;2026;1000.0;19-05-2026
20260002;2026;1000.0;19-05-2026
20260003;2026;100.0;19-05-2026
20260003;2026;900.0;19-05-2026
20260004;2026;500.0;19-05-2026
20260005;2026;1000.0;19-05-2026
20260004;2027;-100.0;19-05-2026 [MULTA]
20260004;2027;200.0;19-05-2026
20260004;2027;400.0;19-05-2026
20260001;2027;1100.0;19-05-2026
20260002;2027;1100.0;19-05-2026
20260003;2027;1100.0;19-05-2026
20260004;2027;1100.0;19-05-2026
20260005;2027;1100.0;19-05-2026
20260001;2028;500.0;19-05-2026
20260002;2028;1100.0;19-05-2026
20260003;2028;1100.0;19-05-2026
20260004;2028;1100.0;19-05-2026
20260005;2028;1100.0;19-05-2026
20260001;2029;-100.0;19-05-2026 [MULTA]
20260001;2029;115.0;19-05-2026
20260001;2029;585.0;19-05-2026
