ID_RECIBO;NUM_MECANOGRAFICO
00000001;20260001;19-05-2026
00000002;20260002;19-05-2026
00000003;20260003;19-05-2026
00000004;20260003;19-05-2026
00000005;20260004;19-05-2026
00000006;20260005;19-05-2026
00000007;20260004;19-05-2026
00000008;20260004;19-05-2026
00000009;20260001;19-05-2026
00000010;20260002;19-05-2026
00000011;20260003;19-05-2026
00000012;20260004;19-05-2026
00000013;20260005;19-05-2026
00000014;20260001;19-05-2026
00000015;20260002;19-05-2026
00000016;20260003;19-05-2026
00000017;20260004;19-05-2026
00000018;20260005;19-05-2026
