TIPO;SIGLA;NOME;ANO;DOCENTE_RESPONSAVEL;CURSOS;ATIVO;NUM_AVALIACOES
UC;MAT;Matematica Antiga;1;PXQ;;false;2
UC;MAT1;Matematica 1;1;PLM;LEC,LEM,LEE;true;2
UC;MAT2;Matematica 2;2;PLM;LEC,LEM;true;2
UC;EM1;Engenharia dos Materiais 1;1;PLG;LEC;true;3
UC;EST1;Estruturas 1;2;PVR;LEC;true;1
UC;EST2;Estruturas 2;3;PVR;LEC;true;1
UC;COM1;Construções Mecanicas 1;2;PKX;LEM;true;1
UC;COM2;Construções Mecanicas 2;3;PKX;LEM;true;1
UC;PRO1;Programacao 1;1;PEU;LEE;true;1
UC;CIR;Circuitos;1;PEU;LEE;true;1
UC;ELE;Eletromagnetismo;1;PEU;LEE;true;2
UC;SDE;Sistemas Digitais Eletricos;1;PEU;LEE;true;1
UC;PRO2;Programacao 2;2;PEU;LEE;true;2
