TIPO;NUM_MEC;SIGLA_UC;ANO_OU_NOTA1;NOTA2_OU_NOTA1;NOTA3_OU_NOTA2;NOTA3
HISTORICO;20260001;MAT1;2026;16.0;10.0;-1.0
HISTORICO;20260001;EM1;2026;10.0;-1.0;-1.0
HISTORICO;20260002;MAT1;2026;7.0;10.0;-1.0
HISTORICO;20260002;EM1;2026;15.0;-1.0;-1.0
HISTORICO;20260003;MAT1;2026;14.0;10.0;-1.0
HISTORICO;20260003;EM1;2026;16.0;-1.0;-1.0
HISTORICO;20260004;MAT1;2026;7.0;10.0;-1.0
HISTORICO;20260004;EM1;2026;17.0;-1.0;-1.0
HISTORICO;20260006;MAT1;2026;4.0;10.0;-1.0
HISTORICO;20260006;EM1;2026;15.0;-1.0;-1.0
HISTORICO;20260007;MAT1;2026;10.0;10.0;-1.0
HISTORICO;20260007;EM1;2026;16.0;-1.0;-1.0
