TIPO;NUM_MEC;SIGLA_UC;ANO;NOTA1;NOTA2;NOTA3
NOTA;20260001;EM1;2026;15,0;;
NOTA;20260002;EM1;2026;14,0;;
NOTA;20260003;EM1;2026;8,0;;
NOTA;20260004;EM1;2026;14,0;;
NOTA;20260005;EM1;2026;16,0;;
NOTA;20260001;DES;2026;14,0;;
NOTA;20260003;DES;2026;8,0;;
NOTA;20260004;DES;2026;8,0;;
NOTA;20260005;DES;2026;8,0;;
NOTA;20260002;MAT1;2026;14,0;15,0;
NOTA;20260003;MAT1;2026;14,0;15,0;
NOTA;20260004;MAT1;2026;14,0;15,0;
NOTA;20260005;MAT1;2026;14,0;15,0;
NOTA;20260001;MAT1;2026;15,0;14,0;
NOTA;20260002;DES;2026;15,0;;
NOTA;20260003;EM1;2027;10,0;;
NOTA;20260003;DES;2027;10,0;;
NOTA;20260004;DES;2027;10,0;;
NOTA;20260005;DES;2027;10,0;;
NOTA;20260001;MAT2;2027;15,0;14,0;
NOTA;20260002;MAT2;2027;15,0;14,0;
NOTA;20260004;MAT2;2027;15,0;14,0;
NOTA;20260005;MAT2;2027;15,0;14,0;
NOTA;20260001;EST1;2027;17,0;;
NOTA;20260002;EST1;2027;17,0;;
NOTA;20260004;EST1;2027;17,0;;
NOTA;20260005;EST1;2027;17,0;;
NOTA;20260003;MAT2;2028;18,0;19,0;
NOTA;20260003;EST1;2028;18,0;;
NOTA;20260001;EST2;2028;14,0;;
NOTA;20260002;EST2;2028;15,0;;
NOTA;20260005;EST2;2028;8,0;;
NOTA;20260004;EST2;2028;15,0;;
